BANK,COUNTRY,TOTAL ASSETS (US$B),BALANCE SHEET,RANK,LANDMASS
Industrial & Commercial Bank of China Limited,China,5536.53,31-12-2021,1,Asia-Pacific
China Construction Bank ,China,4762.46,31-12-2021,2,Asia-Pacific
Agricultural Bank of China,China,4575.95,31-12-2021,3,Asia-Pacific
Bank of China,China,4206.53,31-12-2021,4,Asia-Pacific
JPMorgan Chase ,USA,3743.57,31-12-2021,5,United States and Canada
Mitsubishi UFJ Financial Group,Japan,3176.84,31-12-2021,6,Asia-Pacific
Bank of America,USA,3169.50,31-12-2021,7,United States and Canada
HSBC,UK,2953.64,31-12-2021,8,Europe
BNP Paribas,France,2905.83,31-12-2021,9,Europe
Credit Agricole ,France,2674.35,31-12-2021,10,Europe
citigroup Inc,USA,2291.41,31-12-2021,11,United States and Canada
SMBC Group,Japan,2176.94,31-12-2021,12,Asia-Pacific
Japan Post Bank,Japan,1998.98,31-12-2021,13,Asia-Pacific
Postal Savings Bank of China,China,1981.53,31-12-2021,14,Asia-Pacific
Mizuho Financial Group,Japan,1957.87,31-12-2021,15,Asia-Pacific
Wells Fargo,USA,1948.07,31-12-2021,16,United States and Canada
Barclays ,UK,1874.40,31-12-2021,17,Europe
Bank of Communications,China,1836.38,31-12-2021,18,Asia-Pacific
Banco Santander,Spain,1814.90,31-12-2021,19,Europe
Groupe BPCE,France,1724.12,31-12-2021,20,Europe
Societe Generate,France,1665.47,31-12-2021,21,Europe
Deutsche Bank,Germany,1505.74,31-12-2021,22,Europe
Toronto-Dominion Bank,Canada,1468.40,31-12-2021,23,United States and Canada
Goldman Sachs ,USA,1463.99,31-12-2021,24,United States and Canada
China Merchants Bank,China,1455.94,31-12-2021,25,Asia-Pacific
Royal Bank of Canada,Canada,1376.79,31-12-2021,26,United States and Canada
Industrial Bank (China),China,1354.25,31-12-2021,27,Asia-Pacific
China CITIC Bank ,China,1266.08,31-12-2021,28,Asia-Pacific
Shanghai Pudong Development Bank,China,1251.38,31-12-2021,29,Asia-Pacific
Credit Mutuel,France,1249.36,31-12-2021,30,Europe
Intesa Sanpaolo,Italy,1215.74,31-12-2021,31,Europe
Lloyds Banking Group,UK,1200.41,31-12-2021,32,Europe
Morgan Stanley,USA,1188.14,31-12-2021,33,United States and Canada
UBS,Switzerland,1117.18,31-12-2021,34,Europe
China Minsheng Bank,China,1094.48,31-12-2021,35,Asia-Pacific
ING Group,Netherlands,1081.87,31-12-2021,36,Europe
NatWest Group,UK,1058.86,31-12-2021,37,Europe
UniCredit,Italy,1042.50,30-06-2021,38,Europe
Scotiabank,Canada,978.48,30-09-2021,39,United States and Canada
China Everbright Bank,China,929.08,31-12-2021,40,Asia-Pacific
Norinchukin Bank,Japan,927.77,30-09-2021,41,Asia-Pacific
Bank of Montreal,Canada,908.62,31-12-2021,42,United States and Canada
LaBanque Postale,France,878.32,31-12-2021,43,Europe
Commonwealth Bank ,Australia,836.05,31-12-2021,44,Asia-Pacific
Credit Suisse,Switzerland,829.12,31-12-2021,45,Europe
Standard Chartered ,UK,827.82,31-12-2021,46,Europe
Banco Bilbao Vizcaya Argentaria,Spain,818.21,30-09-2021,47,Europe
Ping An Bank,China,774.71,31-12-2021,48,Asia-Pacific
CaixaBank,Spain,773.38,31-12-2021,49,Europe
Rabobank,Netherlands,727.37,30-09-2021,50,Europe
DZ Bank,Germany,713.38,31-12-2021,51,Europe
Australia and New Zealand Banking Group,Australia,709.01,30-09-2021,52,Asia-Pacific
State Bank of India,India,694.90,31-12-2021,53,Asia-Pacific
Westpac,Australia,677.88,31-12-2021,54,Asia-Pacific
Cabadian Imperial Bank of Commerce,Canada,676.95,31-12-2021,55,United States and Canada
National Australia Bank,Australia,670.70,31-12-2021,56,Asia-Pacific
Resona Holdings,Japan,662.32,31-12-2021,57,Asia-Pacific
Nordea,Finland,648.64,31-12-2021,58,Europe
Danske Bank,Denmark,602.01,31-12-2021,59,Europe
U.S. Bancorp,USA,573.28,31-12-2021,60,United States and Canada
KB Financial Group Inc,South Korea,557.35,30-06-2021,61,Asia-Pacific
PNC Financial Services,USA,557.19,31-12-2021,62,United States and Canada
Sumitomo Mitsui Trust Holdings,Japan,553.87,31-12-2021,63,Asia-Pacific
Hua Xia Bank,China,550.75,30-09-2021,64,Asia-Pacific
Sberbank of Russia,Russia,548.58,31-12-2021,65,Europe
Shinhan Bank,South Korea,544.14,31-12-2021,66,Asia-Pacific
Truist Financial Corp,USA,541.24,31-12-2021,67,United States and Canada
Commerzbank,Germany,536.65,31-12-2021,68,Europe
DBS Bank,Singapore,508.09,31-12-2021,69,Asia-Pacific
China Guangfa Bank,China,493.36,31-12-2021,70,Asia-Pacific
Bank of Beijing,China,474.36,31-12-2021,71,Asia-Pacific
ABN AMRO,Netherlands,453.90,31-12-2021,72,Europe
The Bank of New York Mellon,USA,444.44,31-12-2021,73,United States and Canada
Capital One Financial Corporation,USA,432.38,31-12-2021,74,United States and Canada
Nonghyup Bank,South Korea,425.58,31-12-2021,75,Asia-Pacific
Hana Financial Group,South Korea,421.81,30-09-2021,76,Asia-Pacific
Bank of Shanghai,China,411.53,31-12-2021,77,Asia-Pacific
OCBC Bank,Singapore,402.16,30-09-2021,78,Asia-Pacific
Bank of Jiangsu,China,400.75,31-12-2021,79,Asia-Pacific
KBC Bank,Belgium,393.17,31-12-2021,80,Europe
Nomura Holdings,Japan,392.71,31-12-2021,81,Asia-Pacific
Nationwide Building Society,UK,385.40,31-12-2021,82,Europe
Woori Bank,South Korea,375.42,31-12-2021,83,Asia-Pacific
Itau Unibanken,Brazil,371.38,30-09-2021,84,Latin America And Caribbean
Handelsbanken,Sweden,370.13,31-12-2021,85,Europe
SEB Group,Sweden,365.43,31-12-2021,86,Europe
China Zheshang Bank,China,359.97,31-12-2021,87,Asia-Pacific
Frste Group,Austria,350.96,30-06-2021,88,Europe
DNB ASA,Norwar,342.97,31-12-2021,89,Europe
Banco do Brazil,Brazil,340.89,31-12-2021,90,Latin America And Caribbean
United Overseas Bank ,Singapore,340.70,31-12-2021,91,Asia-Pacific
Industrial Bank of Korea,South Korea,334.19,31-12-2021,92,Asia-Pacific
Landesbank Baden-Wurttemberg,Germany,321.05,30-09-2021,93,Europe
State Street Corporation,USA,314.62,30-09-2021,94,United States and Canada
Desjardins Group,Canada,313.78,31-12-2021,95,United States and Canada
Raiffeisen Gruppe,Switzerland,312.07,31-12-2021,96,Europe
Swedbank,Sweden,304.20,30-09-2021,97,Europe
Bayerische Landesbank,Germany,303.14,31-12-2021,98,Europe
Banco Bradesco,Brazil,300.73,31-12-2021,99,Latin America And Caribbean
Qatar National Bank,Qatar,300.24,30-09-2021,100,Middle East
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
